[2026-06-22T18:17:48.471Z] INFO  [CursorTranscriptReader] Read Cursor session 91c13c53: 48 new bubbles, 4 entries extracted (index 0→48)
[2026-06-22T18:17:48.473Z] INFO  [CursorTranscriptReader] Read Cursor session 04ca0dfa: 68 new bubbles, 4 entries extracted (index 0→68)
[2026-06-22T18:17:48.474Z] INFO  [CursorTranscriptReader] Read Cursor session f9f5d4fe: 71 new bubbles, 4 entries extracted (index 0→71)
[2026-06-22T18:17:48.479Z] INFO  [CursorTranscriptReader] Read Cursor session 1ae90867: 130 new bubbles, 4 entries extracted (index 0→130)
[2026-06-22T18:17:48.481Z] INFO  [CursorTranscriptReader] Read Cursor session bc17960c: 101 new bubbles, 4 entries extracted (index 0→101)
[2026-06-22T18:17:48.485Z] INFO  [CursorTranscriptReader] Read Cursor session f8bb0bd9: 252 new bubbles, 4 entries extracted (index 0→252)
[2026-06-22T18:17:48.487Z] INFO  [CursorTranscriptReader] Read Cursor session d3017c56: 114 new bubbles, 4 entries extracted (index 0→114)
[2026-06-22T18:17:48.488Z] INFO  [CursorTranscriptReader] Read Cursor session 6742d029: 55 new bubbles, 4 entries extracted (index 0→55)
[2026-06-22T18:17:48.491Z] INFO  [CursorTranscriptReader] Read Cursor session 7e534327: 125 new bubbles, 4 entries extracted (index 0→125)
[2026-06-22T18:17:48.492Z] INFO  [CursorTranscriptReader] Read Cursor session 30c7e34f: 75 new bubbles, 4 entries extracted (index 0→75)
[2026-06-22T18:17:48.495Z] INFO  [CursorTranscriptReader] Read Cursor session 490ea588: 136 new bubbles, 4 entries extracted (index 0→136)
[2026-06-22T18:17:48.497Z] INFO  [CursorTranscriptReader] Read Cursor session 0724cc51: 93 new bubbles, 4 entries extracted (index 0→93)
[2026-06-22T18:17:48.500Z] INFO  [CursorTranscriptReader] Read Cursor session 646b50af: 157 new bubbles, 4 entries extracted (index 0→157)
[2026-06-22T18:17:48.502Z] INFO  [CursorTranscriptReader] Read Cursor session 433673ac: 96 new bubbles, 4 entries extracted (index 0→96)
[2026-06-22T18:17:48.506Z] INFO  [CursorTranscriptReader] Read Cursor session 4197b442: 250 new bubbles, 6 entries extracted (index 0→250)
[2026-06-22T18:17:48.508Z] INFO  [CursorTranscriptReader] Read Cursor session e8a0e017: 53 new bubbles, 4 entries extracted (index 0→53)
[2026-06-22T18:17:48.509Z] INFO  [CursorTranscriptReader] Read Cursor session b3133e07: 100 new bubbles, 4 entries extracted (index 0→100)
[2026-06-22T18:17:48.513Z] INFO  [CursorTranscriptReader] Read Cursor session 4130e6e8: 198 new bubbles, 6 entries extracted (index 0→198)
[2026-06-22T18:17:48.536Z] INFO  [CursorTranscriptReader] Read Cursor session 722b9adf: 204 new bubbles, 6 entries extracted (index 0→204)
[2026-06-22T18:17:48.539Z] INFO  [CursorTranscriptReader] Read Cursor session 97ee98a1: 115 new bubbles, 4 entries extracted (index 0→115)
[2026-06-22T18:17:48.540Z] INFO  [CursorTranscriptReader] Read Cursor session 59083dd4: 48 new bubbles, 6 entries extracted (index 0→48)
[2026-06-22T18:17:48.542Z] INFO  [CursorTranscriptReader] Read Cursor session 8ea865fe: 84 new bubbles, 4 entries extracted (index 0→84)
[2026-06-22T18:17:48.544Z] INFO  [CursorTranscriptReader] Read Cursor session 052542d5: 77 new bubbles, 4 entries extracted (index 0→77)
[2026-06-22T18:17:48.550Z] INFO  [CursorTranscriptReader] Read Cursor session db7b4d50: 96 new bubbles, 4 entries extracted (index 0→96)
[2026-06-22T18:17:48.551Z] INFO  [CursorTranscriptReader] Read Cursor session 0766ed36: 66 new bubbles, 4 entries extracted (index 0→66)
[2026-06-22T18:17:48.554Z] INFO  [CursorTranscriptReader] Read Cursor session be8498b0: 121 new bubbles, 4 entries extracted (index 0→121)
[2026-06-22T18:17:48.555Z] INFO  [CursorTranscriptReader] Read Cursor session 748c6423: 40 new bubbles, 2 entries extracted (index 0→40)
[2026-06-22T18:17:48.572Z] INFO  [CursorTranscriptReader] Read Cursor session 168cfa97: 184 new bubbles, 6 entries extracted (index 0→184)
[2026-06-22T18:17:48.577Z] INFO  [CursorTranscriptReader] Read Cursor session cbfe348c: 88 new bubbles, 4 entries extracted (index 0→88)
[2026-06-22T18:17:48.585Z] INFO  [CursorTranscriptReader] Read Cursor session 3078842c: 189 new bubbles, 8 entries extracted (index 0→189)
[2026-06-22T18:17:48.587Z] INFO  [CursorTranscriptReader] Read Cursor session 3880dcb3: 89 new bubbles, 4 entries extracted (index 0→89)
[2026-06-22T18:17:48.588Z] INFO  [CursorTranscriptReader] Read Cursor session d63c583e: 41 new bubbles, 4 entries extracted (index 0→41)
[2026-06-22T18:17:48.590Z] INFO  [CursorTranscriptReader] Read Cursor session 944e9af3: 134 new bubbles, 8 entries extracted (index 0→134)
